mjd,mag,magerr
51819.37715,20.084,0.024
52558.34244,19.789,0.017
52577.22994,19.783,0.017
52586.23342,19.788,0.016
52910.3139,19.939,0.018
52931.2441,19.974,0.021
52935.24106,19.972,0.02
52959.18439,20.056,0.019
52963.16414,20.059,0.018
53352.1352,19.9,0.017
53622.3435,20.196,0.029
53638.33431,20.191,0.027
53655.27051,20.187,0.044
53664.29547,20.135,0.048
53669.25471,20.155,0.02
53671.33948,20.161,0.028
53674.23895,20.135,0.022
53676.32843,20.142,0.021
53679.30032,20.2,0.026
53681.29183,20.187,0.027
53685.25088,20.126,0.073
53694.26476,20.081,0.069
53697.24885,20.18,0.026
53700.24781,20.2,0.029
53705.23448,20.205,0.025
53975.31951,20.198,0.025
53990.33237,20.155,0.041
53994.34254,20.226,0.025
53996.32624,20.189,0.028
53998.29487,20.197,0.028
54005.32508,20.242,0.028
54010.28032,20.23,0.03
54012.27317,20.276,0.049
54020.27916,20.366,0.04
54024.36074,20.302,0.037
54030.2727,20.353,0.026
54035.34848,20.379,0.038
54037.25395,20.421,0.033
54040.2685,20.397,0.058
54047.299,20.488,0.145
54049.2951,20.367,0.072
54053.25923,20.307,0.037
54056.26093,20.385,0.038
54059.25524,20.383,0.051
54062.26006,20.231,0.048
54068.24068,20.269,0.063
54357.29839,20.255,0.023
54362.34817,20.215,0.023
54382.32839,20.289,0.038
54385.34621,20.253,0.026
54387.34669,20.269,0.03
54392.34141,20.208,0.032
54402.33987,20.356,0.066
